Ligand SMILES,IC50 (nM),class
CC(C)S(=O)(=O)c1ccc(cc1)-c1cnc(N)c(n1)-c1cc(no1)-c1ccc(CNC2CCOCC2)cc1,0.14,1
CNCc1ccc(cc1)-c1cc(on1)-c1nc(cnc1N)-c1ccc(cc1)S(=O)(=O)C(C)C,0.148,1
CCNCc1ccc(cc1)-c1cc(on1)-c1nc(cnc1N)-c1ccc(cc1)S(=O)(=O)C(C)C,0.21,1
CC(C)S(=O)(=O)c1ccc(cc1)-c1cnc(N)c(n1)-c1cc(no1)-c1ccc(CN)cc1,0.27,1
CC(C)S(=O)(=O)c1ccc(cc1)-c1cnc(N)c(n1)-c1cc(no1)-c1ccc(cc1)[C@@H](C)N,0.53,1
CNCc1ccc(-c2cc(on2)-c2nc(cnc2N)-c2ccc(cc2)S(=O)(=O)C(C)C)c(Cl)c1,0.75,1
CC(C)S(=O)(=O)c1ccc(cc1)-c1cnc(N)c(n1)-c1cc(no1)-c1ccccc1,1.0,1
CC(C)S(=O)(=O)c1ccc(cc1)-c1cnc(N)c(n1)-c1nnc(o1)-c1ccccc1,1.0,1
CC(C)S(=O)(=O)c1ccc(cc1)-c1cnc(N)c(n1)-c1nnc(s1)-c1ccccc1,1.0,1
CC(C)S(=O)(=O)c1ccc(cc1)-c1cnc(N)c(n1)-c1cc(no1)-c1ccc(cc1)[C@H](C)N,1.2,1
CC(C)S(=O)(=O)c1ccc(cc1)-c1cnc(N)c(n1)-c1cc(on1)-c1ccccc1,2.0,1
CNCc1ccc(cc1Cl)-c1cc(on1)-c1nc(cnc1N)-c1ccc(cc1)S(=O)(=O)C(C)C,2.4,1
CC(C)S(=O)(=O)c1ccc(cc1)-c1cnc(N)c(n1)C(=O)Nc1ccccc1,4.0,1
CC(C)S(=O)(=O)c1ccc(cc1)-c1cnc(N)c(n1)-c1ncc(o1)-c1ccccc1,4.0,1
CNc1nccn1-c1nc2N3[C@H](C)COC[C@H]3COc2c(n1)C(C)(C)S(C)(=O)=O,100.0,1
C[C@@H]1COCCN1c1cc(nc(n1)-c1ccnc2[nH]ccc12)C1(CC1)S(C)(=O)=O,100.0,1
Nc1ncc(nc1C(=O)Nc1ccccc1)-c1ccc(cc1)C(=O)N1CCC1,100.0,1
C[C@@H]1COCCN1c1cc(OCCCCNC(=O)OC(C)(C)C)c2ccnc(-c3ccnn3C3CCCCO3)c2n1,101.0,1
COc1ccc(F)c(c1)-c1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOCC1,103.0,1
Fc1cnccc1-c1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOCC1,103.0,1
CCOC(=O)N=S(C)(=O)c1cccc(c1)-c1cc(nc2c(nccc12)-c1ccnn1C1CCCCO1)N1CCOCC1,104.0,1
CC1COCCN1c1cc(cc(n1)-c1ccnc2[nH]ccc12)-n1c(C)nnc1C,105.0,1
C[C@@H]1COCCN1c1cc(-c2ccc(F)cn2)c2ccnc(-c3ccnn3C3CCCCO3)c2n1,107.0,1
Cc1ccncc1-c1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOCC1,108.0,1
CNc1nc2c(F)cccc2n1-c1nc(cc(n1)C1(CC1)[S@@](C)(=N)=O)N1CCOC[C@H]1C,109.0,1
C[C@@H]1COCCN1c1nc(nc2c(csc12)C(C)=C)-c1ccnc2[nH]ccc12,109.0,1
CC(C)Sc1ccc(cc1)-c1cc(nc2c(nccc12)-c1ccnn1C1CCCCO1)N1CCOCC1,110.0,1
NC(=O)c1ccc(cc1)-c1cnc(N)c(n1)C(=O)Nc1ccccc1,110.0,1
CS(=O)(=O)C1(CC1)c1cc(nc(n1)-c1cccc2[nH]ccc12)N1CC2CCC(C1)O2,110.0,1
C[C@@H]1COCCN1c1nc(nc2CCN(Cc12)C(=O)C1CC1)-c1cccc2[nH]ccc12,111.0,1
CN(c1ccccc1F)c1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOCC1,112.0,1
NC(=O)c1cccc(c1)-c1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOCC1,113.0,1
CSc1nc2ccccc2n1-c1nc(N2CCOC[C@H]2C)c2scc(c2n1)S(C)(=O)=O,114.0,1
C1CCC(OC1)n1nccc1-c1nccc2c(cc(nc12)N1CCOCC1)N1CCn2ccnc2C1,115.0,1
CCNC(=O)N=S(C)(=O)c1ccc(cc1)-c1cc(nc2c(nccc12)-c1ccnn1C1CCCCO1)N1CCOCC1,115.0,1
C1CN(CCO1)c1ccc(cn1)-c1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOCC1,115.0,1
CC1COCCN1c1cc(nc(n1)-c1ccnc2[nH]ccc12)-c1c(C)n[nH]c1C,115.0,1
C[C@@H]1COCCN1c1nc(nc2ccc(cc12)-c1ccnn1C)-c1ccnc2[nH]ccc12,115.0,1
C1CCC(OC1)n1nccc1-c1nccc2c(cc(nc12)N1CCOCC1)C1=CCNCC1,117.0,1
CS(=O)(=O)c1ccccc1-c1cc(nc2c(nccc12)-c1ccnn1C1CCCCO1)N1CCOCC1,118.0,1
C1CN(CCO1)c1cc(N2CCc3ccccc3C2)c2ccnc(-c3ccn[nH]3)c2n1,118.0,1
OC[C@H]1CCCN(C1)c1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOCC1,118.0,1
CNC(=O)c1cccc(c1)-c1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOCC1,119.0,1
C1CN(CCO1)c1cc(-c2cccc3ncccc23)c2ccnc(-c3ccn[nH]3)c2n1,119.0,1
